105	1074	Uint	ImageAsset	samplerWrapX
105	1075	Uint	ImageAsset	samplerWrapY
106	-1	Type	FileAssetContents	-
107	-1	Type	Vertex	-
107	24	Double	Vertex	x
107	25	Double	Vertex	y
108	-1	Type	MeshVertex	-
108	215	Double	MeshVertex	u
108	216	Double	MeshVertex	v
109	-1	Type	Mesh	-
110	-1	Type	ScriptedTransition	-
110	273	Uint	ScriptedTransition	activeComponentId
110	414	Uint	ScriptedTransition	listSource
111	-1	Type	ContourMeshVertex	-
113	-1	Type	PaintImage	-
113	269	Uint	PaintImage	imageSamplerFilter
113	270	Uint	PaintImage	imageSamplerWrapX
113	271	Uint	PaintImage	imageSamplerWrapY
113	368	Double	PaintImage	imageScaleY
113	369	Double	PaintImage	imageOffsetX
113	410	Double	PaintImage	imageOffsetY
113	411	Double	PaintImage	imageRotation
113	412	Uint	PaintImage	imageSizeMode
113	415	Uint	PaintImage	imageAssetId
113	416	Double	PaintImage	imageScaleX
114	-1	Type	StateMachineListenerSingle	-
114	225	Uint	StateMachineListenerSingle	listenerTypeValue
114	399	Uint	StateMachineListenerSingle	eventId
115	-1	Type	ListenerTriggerChange	-
116	-1	Type	ListenerInputChange	-
116	227	Uint	ListenerInputChange	inputId
116	400	Uint	ListenerInputChange	nestedInputId
117	-1	Type	ListenerBoolChange	-
117	228	Uint	ListenerBoolChange	value
118	-1	Type	ListenerNumberChange	-
118	229	Double	ListenerNumberChange	value
121	-1	Type	NestedInput	-
121	237	Uint	NestedInput	inputId
122	-1	Type	NestedTrigger	-
123	-1	Type	NestedBool	-
123	238	Bool	NestedBool	nestedValue
124	-1	Type	NestedNumber	-
124	239	Double	NestedNumber	nestedValue
125	-1	Type	ListenerAction	-
125	980	Uint	ListenerAction	flags
126	-1	Type	ListenerAlignTarget	-
126	240	Uint	ListenerAlignTarget	targetId
126	541	Bool	ListenerAlignTarget	preserveOffset
127	-1	Type	CustomPropertyNumber	-
127	243	Double	CustomPropertyNumber	propertyValue
128	-1	Type	Event	-
129	-1	Type	CustomPropertyBoolean	-
129	245	Bool	CustomPropertyBoolean	propertyValue
130	-1	Type	CustomPropertyString	-
130	246	String	CustomPropertyString	propertyValue
131	-1	Type	OpenUrlEvent	-
131	248	String	OpenUrlEvent	url
131	249	Uint	OpenUrlEvent	targetValue
134	-1	Type	Text	-
134	281	Uint	Text	alignValue
134	284	Uint	Text	sizingValue
134	285	Double	Text	width
134	286	Double	Text	height
134	287	Uint	Text	overflowValue
134	315	Bool	Text	fitFontSizeResizesBox
134	366	Double	Text	originX
134	367	Double	Text	originY
134	371	Double	Text	paragraphSpacing
134	377	Uint	Text	originValue
134	683	Uint	Text	wrapValue
134	685	Uint	Text	verticalAlignValue
134	703	Bool	Text	fitFromBaseline
134	932	Uint	Text	textRunListSource
134	1026	Uint	Text	verticalTrimValue
135	-1	Type	TextValueRun	-
135	268	String	TextValueRun	text
135	272	Uint	TextValueRun	styleId
136	-1	Type	BitmapCache	-
